1467,1,0,-1,1,1,1,11
1467,1,1,-1,1,2,1,11
1467,1,2,-1,1,1,2,12
1467,1,3,-1,1,2,2,12
1467,1,4,-1,1,1,3,11
1467,1,5,-1,1,2,3,11
1467,1,6,-1,1,1,4,12
1467,1,7,-1,1,2,4,12
1467,1,8,-1,1,1,5,11
1467,1,9,-1,1,2,5,11
1467,1,10,-1,1,1,6,12
1467,1,11,-1,1,2,6,12
1467,3,0,-1,1,1,7,11
1467,3,1,-1,1,2,7,11
1467,3,2,-1,1,1,8,12
1467,3,3,-1,1,2,8,12
1467,3,4,-1,1,1,9,11
1467,3,5,-1,1,2,9,11
1467,3,6,-1,1,1,10,12
1467,3,7,-1,1,2,10,12
1467,3,8,-1,1,1,11,11
1467,3,9,-1,1,2,11,11
1467,3,10,-1,1,1,12,12
1467,3,11,-1,1,2,12,12
1467,5,0,-1,1,1,13,11
1467,5,1,-1,1,2,13,11
1467,5,2,-1,1,1,14,12
1467,5,3,-1,1,2,14,12
1467,5,4,-1,1,1,15,11
1467,5,5,-1,1,2,15,11
1467,5,6,-1,1,1,16,12
1467,5,7,-1,1,2,16,12
1467,5,8,-1,1,1,17,11
1467,5,9,-1,1,2,17,11
1467,5,10,-1,1,1,18,12
1467,5,11,-1,1,2,18,12
1467,7,0,-1,1,1,19,11
1467,7,1,-1,1,2,19,11
1467,7,2,-1,1,1,20,12
1467,7,3,-1,1,2,20,12
1467,7,4,-1,1,1,21,11
1467,7,5,-1,1,2,21,11
1467,7,6,-1,1,1,22,12
1467,7,7,-1,1,2,22,12
1467,7,8,-1,1,1,23,11
1467,7,9,-1,1,2,23,11
1467,7,10,-1,1,1,24,12
1467,7,11,-1,1,2,24,12
1467,9,0,-1,1,1,25,11
1467,9,1,-1,1,2,25,11
1467,9,2,-1,1,1,26,12
1467,9,3,-1,1,2,26,12
1467,9,4,-1,1,1,27,11
1467,9,5,-1,1,2,27,11
1467,9,6,-1,1,1,28,12
1467,9,7,-1,1,2,28,12
1467,9,8,-1,1,1,29,11
1467,9,9,-1,1,2,29,11
1467,9,10,-1,1,1,30,12
1467,9,11,-1,1,2,30,12
1467,11,0,-1,1,1,31,11
1467,11,1,-1,1,2,31,11
1467,11,2,-1,1,1,32,12
1467,11,3,-1,1,2,32,12
1467,11,4,-1,1,1,33,11
1467,11,5,-1,1,2,33,11
1467,11,6,-1,1,1,34,12
1467,11,7,-1,1,2,34,12
1467,11,8,-1,1,1,35,11
1467,11,9,-1,1,2,35,11
1467,11,10,-1,1,1,36,12
1467,11,11,-1,1,2,36,12
1468,1,0,1,1,1,1,11
1468,1,1,1,1,2,1,11
1468,1,2,1,1,1,2,12
1468,1,3,1,1,2,2,12
1468,1,4,1,1,1,3,11
1468,1,5,1,1,2,3,11
1468,1,6,1,1,1,4,12
1468,1,7,1,1,2,4,12
1468,1,8,1,1,1,5,11
1468,1,9,1,1,2,5,11
1468,1,10,1,1,1,6,12
1468,1,11,1,1,2,6,12
1468,3,0,1,1,1,7,11
1468,3,1,1,1,2,7,11
1468,3,2,1,1,1,8,12
1468,3,3,1,1,2,8,12
1468,3,4,1,1,1,9,11
1468,3,5,1,1,2,9,11
1468,3,6,1,1,1,10,12
1468,3,7,1,1,2,10,12
1468,3,8,1,1,1,11,11
1468,3,9,1,1,2,11,11
1468,3,10,1,1,1,12,12
1468,3,11,1,1,2,12,12
1468,5,0,1,1,1,13,11
1468,5,1,1,1,2,13,11
1468,5,2,1,1,1,14,12
1468,5,3,1,1,2,14,12
1468,5,4,1,1,1,15,11
1468,5,5,1,1,2,15,11
1468,5,6,1,1,1,16,12
1468,5,7,1,1,2,16,12
1468,5,8,1,1,1,17,11
1468,5,9,1,1,2,17,11
1468,5,10,1,1,1,18,12
1468,5,11,1,1,2,18,12
1468,7,0,1,1,1,19,11
1468,7,1,1,1,2,19,11
1468,7,2,1,1,1,20,12
1468,7,3,1,1,2,20,12
1468,7,4,1,1,1,21,11
1468,7,5,1,1,2,21,11
1468,7,6,1,1,1,22,12
1468,7,7,1,1,2,22,12
1468,7,8,1,1,1,23,11
1468,7,9,1,1,2,23,11
1468,7,10,1,1,1,24,12
1468,7,11,1,1,2,24,12
1468,9,0,1,1,1,25,11
1468,9,1,1,1,2,25,11
1468,9,2,1,1,1,26,12
1468,9,3,1,1,2,26,12
1468,9,4,1,1,1,27,11
1468,9,5,1,1,2,27,11
1468,9,6,1,1,1,28,12
1468,9,7,1,1,2,28,12
1468,9,8,1,1,1,29,11
1468,9,9,1,1,2,29,11
1468,9,10,1,1,1,30,12
1468,9,11,1,1,2,30,12
1468,11,0,1,1,1,31,11
1468,11,1,1,1,2,31,11
1468,11,2,1,1,1,32,12
1468,11,3,1,1,2,32,12
1468,11,4,1,1,1,33,11
1468,11,5,1,1,2,33,11
1468,11,6,1,1,1,34,12
1468,11,7,1,1,2,34,12
1468,11,8,1,1,1,35,11
1468,11,9,1,1,2,35,11
1468,11,10,1,1,1,36,12
1468,11,11,1,1,2,36,12
1469,1,0,1,2,2,16,21
1469,1,1,1,2,2,16,22
1469,1,2,1,2,2,16,23
1469,1,3,1,2,2,16,24
