22,3,1,1,1,1,8,0,0
22,3,1,1,1,1,7,0,1
21,3,1,1,1,1,6,0,2
21,3,1,1,1,1,5,0,3
22,3,1,1,1,1,4,0,4
21,3,1,1,1,1,3,0,5
22,3,1,1,1,1,2,0,6
21,3,1,1,1,1,1,0,7
21,3,1,1,1,1,8,1,8
21,3,1,1,1,1,7,1,9
21,3,1,1,1,1,6,1,10
21,3,1,1,1,1,5,1,11
22,3,1,1,1,1,4,1,12
21,3,1,1,1,1,3,1,13
22,3,1,1,1,1,2,1,14
21,3,1,1,1,1,1,1,15
24,3,1,1,1,1,8,2,16
24,3,1,1,1,1,7,2,17
23,3,1,1,1,1,6,2,18
23,3,1,1,1,1,5,2,19
24,3,1,1,1,1,4,2,20
23,3,1,1,1,1,3,2,21
24,3,1,1,1,1,2,2,22
23,3,1,1,1,1,1,2,23
22,3,1,1,2,1,8,0,0
22,3,1,1,2,1,7,0,1
21,3,1,1,2,1,6,0,2
21,3,1,1,2,1,5,0,3
22,3,1,1,2,1,4,0,4
21,3,1,1,2,1,3,0,5
22,3,1,1,2,1,2,0,6
21,3,1,1,2,1,1,0,7
21,3,1,1,2,1,8,1,8
21,3,1,1,2,1,7,1,9
21,3,1,1,2,1,6,1,10
21,3,1,1,2,1,5,1,11
22,3,1,1,2,1,4,1,12
21,3,1,1,2,1,3,1,13
22,3,1,1,2,1,2,1,14
21,3,1,1,2,1,1,1,15
24,3,1,1,2,1,8,2,16
24,3,1,1,2,1,7,2,17
23,3,1,1,2,1,6,2,18
23,3,1,1,2,1,5,2,19
24,3,1,1,2,1,4,2,20
23,3,1,1,2,1,3,2,21
24,3,1,1,2,1,2,2,22
23,3,1,1,2,1,1,2,23
22,3,1,1,1,3,8,0,0
22,3,1,1,1,3,7,0,1
21,3,1,1,1,3,6,0,2
21,3,1,1,1,3,5,0,3
22,3,1,1,1,3,4,0,4
21,3,1,1,1,3,3,0,5
22,3,1,1,1,3,2,0,6
21,3,1,1,1,3,1,0,7
21,3,1,1,1,3,8,1,8
21,3,1,1,1,3,7,1,9
21,3,1,1,1,3,6,1,10
21,3,1,1,1,3,5,1,11
22,3,1,1,1,3,4,1,12
21,3,1,1,1,3,3,1,13
22,3,1,1,1,3,2,1,14
21,3,1,1,1,3,1,1,15
24,3,1,1,1,3,8,2,16
24,3,1,1,1,3,7,2,17
23,3,1,1,1,3,6,2,18
23,3,1,1,1,3,5,2,19
24,3,1,1,1,3,4,2,20
